cancelled,category,country,deleted_reason,description,duplicate_of_id,duration,end,first_seen,id,labels,location,place_hierarchies,postponed,relevance,scope,start,state,timezone,title,updated,aviation_rank,brand_safe,entities,local_rank,phq_attendance,predicted_end,private,rank,entity_name,longitude,latitude,sub_category,session_type,estimated,on_campus
,academic,US,,,,2851199,2021-01-19 05:59:59+00:00,2019-10-31 22:01:34+00:00,Hw2UsTNm9F7u5GpBMS,"['academic', 'holiday']","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",,1.0,locality,2020-12-17 06:00:00+00:00,active,America/Chicago,Winter Break,2020-11-10 01:48:51+00:00,,,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]",,51831.0,,False,84,The University of Texas at Austin,-97.734057,30.284918,holiday,in-person,not_estimated,False
,academic,US,,,,3283199,2021-01-19 05:59:59+00:00,2019-10-31 21:58:04+00:00,kxbUL8j9Z8T3nM24A9,"['academic', 'holiday']","[-97.713765, 30.326983]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4669623'], ['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",,1.0,locality,2020-12-12 06:00:00+00:00,active,America/Chicago,Winter Break,2020-10-06 21:38:07+00:00,,,"[{'entity_id': '7pWU6Pnc6keuabbSNYFqNu', 'name': 'Austin Community College - Highland Campus', 'type': 'venue', 'formatted_address': '6101 Highland Campus Drive\nAustin, TX 78752\nUnited States of America'}]",,2419.0,,False,58,Austin Community College - Highland Campus,-97.713765,30.326983,holiday,in-person,not_estimated,False
,academic,US,,,,604799,2020-12-17 05:59:59+00:00,2019-10-31 22:01:33+00:00,aQLbNVWyYAhezkCf2s,"['academic', 'exam', 'hybrid-session']","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",,1.0,locality,2020-12-10 06:00:00+00:00,active,America/Chicago,Fall Exams,2020-11-10 01:48:22+00:00,,,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]",,20732.0,,False,76,The University of Texas at Austin,-97.734057,30.284918,exam,hybrid-session,not_estimated,True
,academic,US,,,,86399,2020-12-06 05:59:59+00:00,2019-10-31 22:01:34+00:00,JtYyYtzTarKc6VapCp,"['academic', 'graduation']","[-97.731236, 30.286095]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",,1.0,locality,2020-12-05 06:00:00+00:00,active,America/Chicago,The University of Texas at Austin - Fall Graduation,2020-09-03 22:18:53+00:00,,,"[{'entity_id': 'xH33ACXDHdVgA7aP6JSZtZ', 'name': 'Bass Concert Hall', 'type': 'venue', 'formatted_address': '2350 Robert Dedman Drive\nAustin, TX 78712\nUnited States of America'}]",,2900.0,,False,59,Bass Concert Hall,-97.731236,30.286095,graduation,in-person,not_estimated,True
,academic,US,,,,345599,2020-11-30 05:59:59+00:00,2019-10-31 21:58:03+00:00,nTYM3q2aHvG5Tz6KJL,"['academic', 'holiday']","[-97.713765, 30.326983]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4669623'], ['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",,1.0,locality,2020-11-26 06:00:00+00:00,active,America/Chicago,Thanksgiving Break,2020-10-07 12:59:39+00:00,,,"[{'entity_id': '7pWU6Pnc6keuabbSNYFqNu', 'name': 'Austin Community College - Highland Campus', 'type': 'venue', 'formatted_address': '6101 Highland Campus Drive\nAustin, TX 78752\nUnited States of America'}]",,2419.0,,False,58,Austin Community College - Highland Campus,-97.713765,30.326983,holiday,in-person,not_estimated,False
,academic,US,,,,431999,2020-11-30 05:59:59+00:00,2019-10-31 22:01:33+00:00,dcnR2pZwk5ctTKmMKf,"['academic', 'holiday']","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",,1.0,locality,2020-11-25 06:00:00+00:00,active,America/Chicago,Thanksgiving Break,2020-11-10 01:48:29+00:00,,,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]",,51831.0,,False,84,The University of Texas at Austin,-97.734057,30.284918,holiday,in-person,not_estimated,False
,academic,US,,,,8989199,2020-12-08 05:59:59+00:00,2019-10-31 22:01:32+00:00,T4LqSe8PuarzX8D9rt,"['academic', 'academic-session', 'hybrid-session']","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",,1.0,locality,2020-08-26 05:00:00+00:00,active,America/Chicago,Fall Session,2020-11-10 01:48:54+00:00,,,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]",,20732.0,,False,76,The University of Texas at Austin,-97.734057,30.284918,academic-session,hybrid-session,not_estimated,True
,academic,US,,,,9507599,2020-12-12 05:59:59+00:00,2019-10-31 21:58:03+00:00,fkgbKSedD4PpY5P9Gr,"['academic', 'academic-session', 'online-session']","[-97.713765, 30.326983]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4669623'], ['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",,1.0,locality,2020-08-24 05:00:00+00:00,active,America/Chicago,Fall Session,2020-10-21 01:56:51+00:00,,,"[{'entity_id': '7pWU6Pnc6keuabbSNYFqNu', 'name': 'Austin Community College - Highland Campus', 'type': 'venue', 'formatted_address': '6101 Highland Campus Drive\nAustin, TX 78752\nUnited States of America'}]",,241.0,,False,38,Austin Community College - Highland Campus,-97.713765,30.326983,academic-session,online-session,not_estimated,True
,academic,US,,,,6479999,2020-08-18 04:59:59+00:00,2019-10-31 22:01:31+00:00,jMZUzivVgULApAbNuP,"['academic', 'academic-session']","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",,1.0,locality,2020-06-04 05:00:00+00:00,active,America/Chicago,Summer Session,2020-11-10 01:48:39+00:00,,,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]",,15549.0,,False,74,The University of Texas at Austin,-97.734057,30.284918,academic-session,in-person,not_estimated,True
,academic,US,,,,6047999,2020-08-10 04:59:59+00:00,2019-10-31 21:58:01+00:00,Q9DL8nRXu3x3H4JUPF,"['academic', 'academic-session']","[-97.713765, 30.326983]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4669623'], ['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",,1.0,locality,2020-06-01 05:00:00+00:00,active,America/Chicago,Summer Session,2020-10-07 16:12:51+00:00,,,"[{'entity_id': '7pWU6Pnc6keuabbSNYFqNu', 'name': 'Austin Community College - Highland Campus', 'type': 'venue', 'formatted_address': '6101 Highland Campus Drive\nAustin, TX 78752\nUnited States of America'}]",,2419.0,,False,58,Austin Community College - Highland Campus,-97.713765,30.326983,academic-session,in-person,not_estimated,True
,academic,US,,,,8467199,2020-08-26 04:59:59+00:00,2019-10-31 22:01:32+00:00,TJWdw2NcJzCzrhXNUT,"['academic', 'holiday']","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",,1.0,locality,2020-05-20 05:00:00+00:00,active,America/Chicago,Summer Break,2020-11-10 01:48:28+00:00,,,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]",,51831.0,,False,84,The University of Texas at Austin,-97.734057,30.284918,holiday,in-person,not_estimated,False
,academic,US,,,,8639999,2020-08-24 04:59:59+00:00,2019-10-31 21:58:02+00:00,CkYPYYPnPEALiLmKTu,"['academic', 'holiday']","[-97.713765, 30.326983]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4669623'], ['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",,1.0,locality,2020-05-16 05:00:00+00:00,active,America/Chicago,Summer Break,2020-10-06 09:01:56+00:00,,,"[{'entity_id': '7pWU6Pnc6keuabbSNYFqNu', 'name': 'Austin Community College - Highland Campus', 'type': 'venue', 'formatted_address': '6101 Highland Campus Drive\nAustin, TX 78752\nUnited States of America'}]",,2419.0,,False,58,Austin Community College - Highland Campus,-97.713765,30.326983,holiday,in-person,not_estimated,False
,academic,US,,,,604799,2020-05-20 04:59:59+00:00,2019-10-31 22:01:30+00:00,okEmk5MyXfEvcnsjEo,"['academic', 'exam']","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",,1.0,locality,2020-05-13 05:00:00+00:00,active,America/Chicago,Spring Exams,2020-11-10 01:48:51+00:00,,,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]",,51831.0,,False,84,The University of Texas at Austin,-97.734057,30.284918,exam,in-person,not_estimated,True
,academic,US,,All classes being conducted remotely / suspended in response to COVID-19,,9331199,2020-08-18 04:59:59+00:00,2020-04-30 08:10:49+00:00,KtmJ2b5LvLhZU4gFiE,"['academic', 'holiday']","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",,1.0,locality,2020-05-02 05:00:00+00:00,active,America/Chicago,COVID-19 Class Cancellation,2020-11-10 01:48:28+00:00,,,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]",,51831.0,,False,84,The University of Texas at Austin,-97.734057,30.284918,holiday,in-person,not_estimated,False
,academic,US,,All classes being conducted remotely / suspended in response to COVID-19,,8639999,2020-08-10 04:59:59+00:00,2020-04-30 05:22:38+00:00,tmHfHeZtt4fSSkFdRQ,"['academic', 'holiday']","[-97.713765, 30.326983]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4669623'], ['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",,1.0,locality,2020-05-02 05:00:00+00:00,active,America/Chicago,COVID-19 Class Cancellation,2020-10-06 08:18:01+00:00,,,"[{'entity_id': '7pWU6Pnc6keuabbSNYFqNu', 'name': 'Austin Community College - Highland Campus', 'type': 'venue', 'formatted_address': '6101 Highland Campus Drive\nAustin, TX 78752\nUnited States of America'}]",,2419.0,,False,58,Austin Community College - Highland Campus,-97.713765,30.326983,holiday,in-person,not_estimated,False
,academic,US,,,,777599,2020-03-23 04:59:59+00:00,2019-10-31 21:58:00+00:00,Fxu3Kz5WWnLGVw26aP,"['academic', 'holiday']","[-97.713765, 30.326983]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4669623'], ['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",,1.0,locality,2020-03-14 05:00:00+00:00,active,America/Chicago,Spring Break,2020-10-07 14:59:09+00:00,,,"[{'entity_id': '7pWU6Pnc6keuabbSNYFqNu', 'name': 'Austin Community College - Highland Campus', 'type': 'venue', 'formatted_address': '6101 Highland Campus Drive\nAustin, TX 78752\nUnited States of America'}]",,2419.0,,False,58,Austin Community College - Highland Campus,-97.713765,30.326983,holiday,in-person,not_estimated,False
,academic,US,,,,777599,2020-03-23 04:59:59+00:00,2019-10-31 22:01:29+00:00,y9PwfoL9Qdx7xcvYkn,"['academic', 'holiday']","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",,1.0,locality,2020-03-14 05:00:00+00:00,active,America/Chicago,Spring Break,2020-11-10 01:48:41+00:00,,,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]",,51831.0,,False,84,The University of Texas at Austin,-97.734057,30.284918,holiday,in-person,not_estimated,False
,academic,US,,All classes being conducted remotely / suspended in response to COVID-19,,4492799,2020-05-02 04:59:59+00:00,2020-03-25 01:46:30+00:00,62Pn4vf8GRv5ygqhaH,"['academic', 'estimated', 'holiday']","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",,1.0,locality,2020-03-11 05:00:00+00:00,active,America/Chicago,COVID-19 Class Cancellation,2020-11-10 01:48:45+00:00,,,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]",,51831.0,,False,84,The University of Texas at Austin,-97.734057,30.284918,holiday,in-person,estimated,False
,academic,US,,All classes being conducted remotely / suspended in response to COVID-19,,4492799,2020-05-02 04:59:59+00:00,2020-03-25 01:45:16+00:00,hWnz6LovXA2UtFe5Ev,"['academic', 'estimated', 'holiday']","[-97.713765, 30.326983]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4669623'], ['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",,1.0,locality,2020-03-11 05:00:00+00:00,active,America/Chicago,COVID-19 Class Cancellation,2020-10-06 09:20:21+00:00,,,"[{'entity_id': '7pWU6Pnc6keuabbSNYFqNu', 'name': 'Austin Community College - Highland Campus', 'type': 'venue', 'formatted_address': '6101 Highland Campus Drive\nAustin, TX 78752\nUnited States of America'}]",,2419.0,,False,58,Austin Community College - Highland Campus,-97.713765,30.326983,holiday,in-person,estimated,False
,academic,US,,,,9413999,2020-05-09 04:59:59+00:00,2019-10-31 22:01:29+00:00,YukviQpZ2erMbXE7zG,"['academic', 'academic-session']","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",,1.0,locality,2020-01-21 06:00:00+00:00,active,America/Chicago,Spring Session,2020-11-10 01:48:28+00:00,,,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]",,51831.0,,False,84,The University of Texas at Austin,-97.734057,30.284918,academic-session,in-person,not_estimated,True
,academic,US,,,,10018799,2020-05-16 04:59:59+00:00,2019-10-31 21:58:00+00:00,csKsX7q363rUcPJATk,"['academic', 'academic-session']","[-97.713765, 30.326983]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4669623'], ['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",,1.0,locality,2020-01-21 06:00:00+00:00,active,America/Chicago,Spring Session,2020-10-07 04:03:55+00:00,,,"[{'entity_id': '7pWU6Pnc6keuabbSNYFqNu', 'name': 'Austin Community College - Highland Campus', 'type': 'venue', 'formatted_address': '6101 Highland Campus Drive\nAustin, TX 78752\nUnited States of America'}]",,2419.0,,False,58,Austin Community College - Highland Campus,-97.713765,30.326983,academic-session,in-person,not_estimated,True
